representative_id,canonical_smiles,target_pIC50,target_origin,row_count,model_key,prediction
CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,5.52,measured_median,2,best_mae_knn_k1_descriptors,5.52
CHEMBL2012938,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.23,mixed_duplicate_measured_median,2,best_mae_knn_k1_descriptors,5.23
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,3,best_mae_knn_k1_descriptors,5.15
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,1,best_mae_knn_k1_descriptors,5.1
25191039,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned_median,1,best_mae_knn_k1_descriptors,5.0
CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,5.0,measured_median,2,best_mae_knn_k1_descriptors,5.0
145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,5.0,assigned_median,1,best_mae_knn_k1_descriptors,5.0
70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned_median,1,best_mae_knn_k1_descriptors,5.0
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured_median,1,best_mae_knn_k1_descriptors,4.67
CHEMBL1410015,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,4.62,measured_median,2,best_mae_knn_k1_descriptors,4.62
CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,5.52,measured_median,2,best_r2_knn_k3_dist_desc_plus_morgan_512,5.5199998104120995
CHEMBL2012938,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.23,mixed_duplicate_measured_median,2,best_r2_knn_k3_dist_desc_plus_morgan_512,5.229999910438614
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,3,best_r2_knn_k3_dist_desc_plus_morgan_512,5.149999950638673
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,1,best_r2_knn_k3_dist_desc_plus_morgan_512,5.099999810435776
25191039,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned_median,1,best_r2_knn_k3_dist_desc_plus_morgan_512,5.0
CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,5.0,measured_median,2,best_r2_knn_k3_dist_desc_plus_morgan_512,4.999999977178519
145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,5.0,assigned_median,1,best_r2_knn_k3_dist_desc_plus_morgan_512,4.999999839631329
70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned_median,1,best_r2_knn_k3_dist_desc_plus_morgan_512,4.999999759834918
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured_median,1,best_r2_knn_k3_dist_desc_plus_morgan_512,4.669999992283696
CHEMBL1410015,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,4.62,measured_median,2,best_r2_knn_k3_dist_desc_plus_morgan_512,4.62
