variant,feature_set,model,mae,rmse,r2
raw,base_graph,extra,0.663530769230772,0.8921165167632749,0.37404761724014624
raw,graph,rf,0.7603064468864477,0.9098948294483292,0.3488507702698288
raw,graph,extra,0.6751826923076952,0.9123814895528262,0.34528684330910264
raw,base_graph,svr,0.7429782574353824,0.9302552745737978,0.3193835848484895
raw,base_graph,rf,0.8159500137362646,0.9471317100075903,0.2944644671244191
raw,base,extra,0.7130746794871821,0.9482929890772227,0.2927332909315191
dedup,base_graph,extra,0.7945289473684207,0.9792086229383616,0.27362993917724465
dedup,graph,extra,0.8117578947368411,1.0065904975395115,0.23243859463961558
dedup,graph,svr,0.7812233737061642,1.0120026452954176,0.2241624911032576
raw,base,svr,0.7520125923213037,0.9940987706821118,0.22275630024706072
dedup,base,extra,0.8211394736842115,1.0152419167889317,0.21918785897795756
raw,base,rf,0.8681252152014659,1.0216675346313437,0.179048835775522
raw,base_morgan256,rf,0.8963850526556781,1.034915677113411,0.15761995870771883
raw,base_graph_morgan256,rf,0.8994196794871802,1.044841246118964,0.14138444148767138
dedup,graph,rf,0.8893552631578945,1.0658062547964136,0.13947398128784028
raw,morgan256,rf,0.8941668498168505,1.0544130526663091,0.1255808024825843
raw,base_morgan256,extra,0.8168583333333357,1.0674760716282738,0.10378040656028753
raw,base,knn3d,0.6666935000290599,1.0683535170074734,0.10230644951658496
raw,base_graph_morgan256,extra,0.8400070512820539,1.089217050771443,0.06690255688326951
dedup,base_morgan256,knn1,0.6373684210526317,1.1104266605323616,0.06591319434826493
dedup,base_graph_morgan256,knn1,0.6373684210526317,1.1104266605323616,0.06591319434826493
dedup,rdk256,extra,0.8685614035087691,1.1135978581115558,0.060570376735691545
raw,base_graph_morgan256,svr,0.9145554814299384,1.09782869043207,0.05208959680621328
raw,base_morgan256,svr,0.915805939451711,1.1018102452744019,0.04520145249139573
raw,base_graph,knn1,0.7230769230769231,1.1046753787007713,0.040229303996147214
raw,rdk256,rf,0.9286090524112632,1.1074561636096893,0.03539118569908317
raw,morgan256,svr,0.9193528303708303,1.111926451635723,0.02758810995032368
dedup,base_graph,rf,0.9672947368421055,1.1338625110423968,0.026068820156695205
raw,morgan256,extra,0.8522817307692327,1.1152197180642451,0.021819466125359233
dedup,base_graph,svr,0.9043770140749029,1.1364326164049519,0.021648632355051878
raw,base,knn1,0.7523076923076922,1.1179238999832888,0.017069935461712427
raw,graph,svr,0.9162589747262159,1.1240387494781419,0.006287613837880346
dedup,rdk256,rf,0.9243104636591482,1.14899408579192,-9.916203477500218e-05
raw,graph,knn3d,0.7642087659782617,1.1339499667042652,-0.011313773451189668
raw,rdk256,extra,0.9310817307692325,1.1361165869263643,-0.015182067852643755
raw,base_morgan256,knn3d,0.8514117199201942,1.1418241922395915,-0.02540780205184423
dedup,graph,knn3d,0.8923458718548609,1.1807252027658919,-0.0561002458662625
dedup,base_morgan256,extra,1.0024210526315793,1.184513092060682,-0.06288727411149164
dedup,base_graph_morgan256,svr,1.052267754351066,1.185035285542311,-0.06382462998080562
dedup,base_graph_morgan256,rf,1.0537315789473687,1.1859811535513314,-0.06552354861203757
dedup,base_morgan256,svr,1.0501430142299721,1.1873506539193692,-0.06798577561515096
raw,base_graph,knn3d,0.7800037431378926,1.1687073227141334,-0.07426064850091207
dedup,base,rf,1.0299078947368425,1.1920290769921413,-0.07641855478045478
dedup,base_morgan256,rf,1.0654157894736842,1.1957763174255414,-0.08319681075308605
raw,base_graph_morgan256,knn3d,0.8987038000076506,1.1787726341044054,-0.09284413707452943
dedup,morgan256,rf,1.0508947368421058,1.2054041243063411,-0.10070977433392869
raw,morgan256,knn3d,0.923120318113978,1.1834980670655657,-0.10162362946406667
dedup,morgan256,svr,1.06242812200092,1.2079683644696453,-0.10539780595930326
dedup,rdk256,knn3d,0.9409964098663994,1.2177339148713011,-0.12334273308502408
dedup,morgan256,knn3d,1.0008830199151229,1.221408393613615,-0.13013227315105924
dedup,base_graph_morgan256,knn3d,0.9897414762663131,1.223786136868798,-0.1345366639932406
dedup,base_morgan256,knn3d,0.9966218319475788,1.2239653067878442,-0.13486889479153175
raw,rdk256,svr,0.9747066954291392,1.2036506786271466,-0.1394599548878679
dedup,rdk256,knn1,0.7363157894736841,1.2306502346320827,-0.14729936853202807
dedup,base_graph_morgan256,extra,1.0666157894736847,1.2386849469880294,-0.16232932955946722
raw,rdk256,knn3d,0.9610512109242564,1.2177773179307203,-0.16636344062215835
dedup,base,svr,0.9477824538639318,1.2479381417172826,-0.17975980127719549
dedup,morgan256,knn1,0.7689473684210527,1.249797878395585,-0.1832786894878169
dedup,morgan256,extra,1.0923394736842107,1.2791306377976528,-0.23947359566471071
dedup,rdk256,svr,1.0503809190161042,1.2836717111056215,-0.2482897889524438
raw,base_morgan256,knn1,0.8734615384615385,1.2669238942596963,-0.2624064098266763
raw,base_graph_morgan256,knn1,0.8734615384615385,1.2669238942596963,-0.2624064098266763
dedup,base,knn1,0.751578947368421,1.3031540685259704,-0.286468051816803
dedup,base_graph,knn1,0.751578947368421,1.3031540685259704,-0.286468051816803
dedup,base,knn3d,0.9990983028184635,1.3052480607355064,-0.29060573357352704
raw,rdk256,knn1,0.9607692307692308,1.3241484927187097,-0.379023026385062
dedup,base_graph,knn3d,1.0513967418453598,1.3659908825816405,-0.41352364659516216
raw,morgan256,knn1,0.9361538461538461,1.3444959021020595,-0.4217299183611787
raw,graph,knn1,0.9161538461538462,1.4423965100857987,-0.6363170768115105
dedup,graph,knn1,0.9626315789473684,1.5204794950070328,-0.7513325208104076
