method,count,mean_similarity,median_similarity,min_similarity,max_similarity,very_high_count,high_count,medium_count,low_count
ring_size_and_ring_system_scans,3,0.9333,1.0,0.8,1.0,2,1,0,0
bioisosteric_swaps,15,0.854,0.8571,0.7778,0.9082,9,6,0,0
matched_molecular_pair_expansion,25,0.8207,0.825,0.6316,1.0,6,17,2,0
reaction_based_enumeration,31,0.8032,0.807,0.6,0.939,11,15,5,0
heteroatom_walks,61,0.7808,0.7857,0.6122,0.907,12,42,7,0
linker_scans,5,0.7338,0.7273,0.6875,0.7846,0,3,2,0
r_group_enumeration,1205,0.3038,0.2921,0.1429,0.8261,0,2,13,1190
scaffold_hopping,671,0.28,0.2576,0.1489,0.6667,0,0,1,670
reagent_pool_combinatorics,1200,0.2762,0.2772,0.18,0.4561,0,0,0,1200
fragment_growing,430,0.2682,0.2419,0.1489,0.6667,0,0,2,428
