transform,unique_products
heteroatom_CH_to_N,876
bioisostere_amide_to_thioamide,449
rxn_phenol_o_isopropyl,219
rxn_phenol_o_ethyl,184
bioisostere_acid_to_thioacid,52
rxn_acid_to_amide_methylamine,52
rxn_acid_to_amide_ethylamine,51
rxn_acid_to_amide_ethanolamine,51
rxn_acid_to_amide_pyrrolidine,45
bioisostere_acid_to_amide,39
rxn_acid_to_amide_piperidine,38
mmp_aryl_OH_to_OCH3,38
rxn_acid_to_amide_morpholine,34
linker_benzylNH_to_oxybenzylNH,29
linker_carbonylCH2N_to_carbamate,27
mmp_aryl_Cl_to_Br,25
mmp_aryl_Cl_to_F,17
ring_pyrrolidine_to_piperidine,12
mmp_aryl_OCH3_to_OH,6
ring_piperidine_to_morpholine,5
mmp_aryl_Br_to_Cl,5
mmp_aryl_F_to_Cl,1
