canonical_smiles,compound_ids,representative_id,row_count,duplicate_group_has_conflict,pIC50_values,ic50_values,target_pIC50,target_origin,n_measured_rows,n_assigned_rows,has_measured_row,has_active_no_ic50_row,has_inactive_row
O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CHEMBL5278336;CHEMBL5278336;CHEMBL5278336,CHEMBL5278336,3,True,6.1;4.34;5.15,800;4.6e+04;7000,5.15,measured_median,3,0,True,False,False
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,CHEMBL1410015;675434,CHEMBL1410015,2,True,3.84;5.4,1.434e+05;4000,4.62,measured_median,2,0,True,False,False
O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,CHEMBL2012938;11563133,CHEMBL2012938,2,True,5.23;4,5900;0,5.23,mixed_duplicate_measured_median,1,1,True,True,False
CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,CHEMBL1923233;11222830,CHEMBL1923233,2,False,5.52;5.52,3000;3000,5.52,measured_median,2,0,True,False,False
Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,CHEMBL5276142,CHEMBL5276142,1,False,4.67,2.146e+04,4.67,measured_median,1,0,True,False,False
Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,CHEMBL1493046,CHEMBL1493046,1,False,4.54,2.914e+04,4.54,measured_median,1,0,True,False,False
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,CHEMBL4635160;138609936,CHEMBL4635160,2,False,5;5,1e+04;1e+04,5.0,measured_median,2,0,True,False,False
COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,1,False,5.1,8000,5.1,measured_median,1,0,True,False,False
O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,CHEMBL5267683,CHEMBL5267683,1,False,3.7,2e+05,3.7,measured_median,1,0,True,False,False
CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,CHEMBL4129140;46830074,CHEMBL4129140,2,False,3.7;3.7,2e+05;2e+05,3.7,measured_median,2,0,True,False,False
CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,51031028,51031028,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,443118,443118,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,10216098,10216098,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,49864402,49864402,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,25191039,25191039,1,False,5,0,5.0,assigned_median,0,1,False,True,False
Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,70691637,70691637,1,False,5,0,5.0,assigned_median,0,1,False,True,False
O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,73353602,73353602,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,145963683,145963683,1,False,5,0,5.0,assigned_median,0,1,False,True,False
CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,168007234,168007234,1,False,2.5,-1,2.5,assigned_median,0,1,False,False,True
