representative_id,canonical_smiles,target_pIC50,model,feature_set,full_fit_prediction,compound_ids,target_origin,row_count,duplicate_group_has_conflict,n_measured_rows,n_assigned_rows,rank
CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,5.52,knn_k1_distance,descriptors,5.52,CHEMBL1923233;11222830,measured_median,2,False,2,0,1
CHEMBL2012938,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.23,knn_k1_distance,descriptors,5.23,CHEMBL2012938;11563133,mixed_duplicate_measured_median,2,True,1,1,2
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,knn_k1_distance,descriptors,5.15,CHEMBL5278336;CHEMBL5278336;CHEMBL5278336,measured_median,3,True,3,0,3
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,knn_k1_distance,descriptors,5.1,CHEMBL5410606,measured_median,1,False,1,0,4
25191039,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,knn_k1_distance,descriptors,5.0,25191039,assigned_median,1,False,0,1,5
CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,5.0,knn_k1_distance,descriptors,5.0,CHEMBL4635160;138609936,measured_median,2,False,2,0,6
145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,5.0,knn_k1_distance,descriptors,5.0,145963683,assigned_median,1,False,0,1,7
70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,knn_k1_distance,descriptors,5.0,70691637,assigned_median,1,False,0,1,8
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,knn_k1_distance,descriptors,4.67,CHEMBL5276142,measured_median,1,False,1,0,9
CHEMBL1410015,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,4.62,knn_k1_distance,descriptors,4.62,CHEMBL1410015;675434,measured_median,2,True,2,0,10
CHEMBL1493046,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,4.54,knn_k1_distance,descriptors,4.54,CHEMBL1493046,measured_median,1,False,1,0,11
CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,3.7,knn_k1_distance,descriptors,3.7,CHEMBL4129140;46830074,measured_median,2,False,2,0,12
CHEMBL5267683,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,3.7,knn_k1_distance,descriptors,3.7,CHEMBL5267683,measured_median,1,False,1,0,13
10216098,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,2.5,knn_k1_distance,descriptors,2.5,10216098,assigned_median,1,False,0,1,14
49864402,COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,2.5,knn_k1_distance,descriptors,2.5,49864402,assigned_median,1,False,0,1,15
443118,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,2.5,knn_k1_distance,descriptors,2.5,443118,assigned_median,1,False,0,1,16
51031028,CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,2.5,knn_k1_distance,descriptors,2.5,51031028,assigned_median,1,False,0,1,17
73353602,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,2.5,knn_k1_distance,descriptors,2.5,73353602,assigned_median,1,False,0,1,18
168007234,CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,2.5,knn_k1_distance,descriptors,2.5,168007234,assigned_median,1,False,0,1,19
