canonical_smiles,murcko_scaffold,count
O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=S(=O)(c1cccnc1)N1CCC(c2ccccc2)CC1,1
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,O=C(CN1CCCC1)c1ccn(-c2ccccc2)c1,1
O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,O=C(Cc1ccccc1)Oc1c(-c2ccccc2)ccc(-c2ccccc2)c1OC(=O)Cc1ccccc1,1
CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,O=C(C=Cc1ccccn1)NCc1ccccc1,1
Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,O=C(CN1CCCCC1)c1ccn(-c2ccccc2)c1,2
Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,O=C(CN1CCCCC1)c1ccn(-c2ccccc2)c1,2
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,O=C1C2CC2C(=O)N1Cc1cc2nccc(-c3ccccc3OC3CCNCC3)c2s1,1
COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,O=C(Cn1cnc2ccccc2c1=O)NCc1ccccc1,1
O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,O=C(NCCc1ccccc1)c1ccc2nc3c(cc2c1)CCCC3,1
CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,O=C1C=CC(c2ccccc2)N1CCc1ccccc1,1
CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,O=C(Nc1ccccc1)c1ccc(Sc2ccncc2)s1,1
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,,1
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,O=C(CNC(=O)OCc1ccccc1)NCCc1ccccc1,1
COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)NOC(=O)c1ccccc1,1
Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1
Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,O=C(CCCCC1SCC2NC(=O)NC21)NCCCCCCn1cc(COc2ccc(-c3ccc(-c4ccccc4)cc3)cc2)nn1,1
O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,O=C(CCCCC1SCC2NC(=O)NC21)NCCCCCCn1cc(COc2ccccc2)nn1,1
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,O=C(CCCCC1SCC2NC(=O)NC21)NCCOCCOCCOCCN1CCN(c2ccc(Nc3nccc(Nc4ccccc4)n3)cc2)CC1,1
CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,O=C(CNC(=O)C1CCCCC1)Nc1nnc(Cc2ccccc2)s1,1
